Rank,Tier,Pokemon,Type1,Type2
1499,F,Shadow Alolan Vulpix,Normal,Fire
1500,F,Shadow Fletchling,Flying,
1501,F,Shadow Rookidee,Flying,
1502,F,Shadow Snorunt,Ice,
1503,F,Shadow Poliwag,Water,
1504,F,Shadow Whismur,Normal,
1505,F,Shadow Blitzle,Electric,Fire
1506,F,Cutiefly,Fairy,
1507,F,Shadow Shinx,Electric,
1508,F,Hoothoot,Flying,
1509,F,Shadow Zubat,Dark,Poison
1510,F,Shadow Noibat,Dark,Dragon
1511,F,Spinarak,Bug,Dark
1512,F,Wingull,Water,
1513,F,Alolan Diglett,Ground,
1514,F,Rolycoly,Rock,
1515,F,Diglett,Ground,
1516,F,Shadow Taillow,Flying,
1517,F,Fomantis,Grass,
1518,F,Bronzor,Normal,Steel
1519,F,Lechonk,Normal,
1520,F,Gimmighoul,Ghost,
1521,F,Wattrel,Flying,
1522,F,Shadow Poochyena,Dark,
1523,F,Wooloo,Normal,Electric
1524,F,Poliwag,Water,Ground
1525,F,Shadow Venipede,Bug,
1526,F,Whismur,Normal,
1527,F,Blitzle,Electric,Fire
1528,F,Shadow Bidoof,Normal,
1529,F,Shinx,Electric,
1530,F,Rookidee,Flying,
1531,F,Zubat,Dark,Poison
1532,F,Noibat,Dark,Dragon
1533,F,Makuhita,Fighting,Steel
1534,F,Fletchling,Flying,
1535,F,Spearow,Flying,
1536,F,Shadow Alolan Rattata,Normal,Ground
1537,F,Shadow Rattata,Normal,Ground
1538,F,Bidoof,Normal,Dark
1539,F,Shadow Wooper,Water,Ground
1540,F,Skitty,Normal,Fairy
1541,F,Venipede,Bug,Poison
1542,F,Shadow Nidoran ♂,Flying,Normal
1543,F,Shadow Starly,Normal,Flying
1544,F,Shadow Hoothoot,Flying,
1545,F,Nidoran ♂,Poison,Normal
1546,F,Taillow,Flying,
1547,F,Sentret,Normal,Ground
1548,F,Shadow Pidgey,Normal,Dragon
1549,F,Poochyena,Dark,
1550,F,Rattata,Normal,Ground
1551,F,Alolan Rattata,Normal,Dark
1552,F,Wooper,Water,Ground
1553,F,Cleffa,Normal,
1554,F,Meditite,Psychic,Ice
1555,F,Starly,Normal,Flying
1556,F,Flittle,Psychic,
1557,F,Paldean Wooper,Poison,
1558,F,Pidgey,Normal,Dragon
1559,F,Shadow Swinub,Normal,Ice
1560,F,Toxel,Poison,Fighting
1561,F,Lotad,Water,
1562,F,Beldum,Normal,Steel
1563,F,Togepi,Flying,Fairy
1564,F,Gossifleur,Grass,
1565,F,Igglybuff,Normal,Electric
1566,F,Swinub,Normal,Ice
1567,F,Shadow Shuckle,Rock,
1568,F,Nymble,Bug,
1569,F,Tarountula,Bug,
1570,F,Shadow Bunnelby,Ground,
1571,F,Marill,Normal,Water
1572,F,Wynaut,Fighting,Psychic
1573,F,Shadow Ralts,Psychic,
1574,F,Hoppip,Normal,Grass
1575,F,Shadow Beldum,Normal,Steel
1576,F,Shadow Galarian Zigzagoon,Normal,Ground
1577,F,Shadow Zigzagoon,Normal,Ground
1578,F,Shadow Hoppip,Normal,Grass
1579,F,Pawmi,Electric,
1580,F,Wiglett,Water,
1581,F,Happiny,Normal,Psychic
1582,F,Shuckle,Rock,
1583,F,Zigzagoon,Normal,Ground
1584,F,Galarian Zigzagoon,Normal,Ground
1585,F,Combee,Bug,
1586,F,Bunnelby,Ground,
1587,F,Ralts,Psychic,
1588,F,Bounsweet,Fairy,Grass
1589,F,Tyrogue,Fighting,
1590,F,Shadow Seedot,Normal,Grass
1591,F,Shadow Delibird,Normal,Ice
1592,F,Pichu,Electric,
1593,F,Seedot,Normal,Grass
1594,F,Snom,Bug,Ice
1595,F,Wimpod,Bug,
1596,F,Sunkern,Grass,
1597,F,Shadow Feebas,Normal,Psychic
1598,F,Feebas,Normal,Psychic
1599,F,Azurill,Water,Normal
1600,F,Shedinja,Ghost,
