Rank,Pokemon,Dex,Type1,Type2,Fast Move,Fast Move Type,Charged Move,Charged Move Type,DPS,TDO,ER,CP,Shadow,Mega
497,Shadow Milotic,350,water,none,Waterfall,water,Surf,water,14.47,452,34.22,3005,true,false
498,Frosmoth,873,bug,ice,Bug Bite,bug,Bug Buzz,bug,14.47,319,31.36,2728,false,false
499,Morpeko,877,dark,electric,Thunder Shock,electric,Aura Wheel,electric,14.46,227,28.78,1942,false,false
500,Shadow Beedrill,15,bug,poison,Bug Bite,bug,Sludge Bomb,poison,14.45,216,28.41,1846,true,false
501,Solgaleo,791,psychic,steel,Zen Headbutt,psychic,Solar Beam,grass,14.45,576,36.31,4042,false,false
502,Scizor,212,bug,steel,Fury Cutter,bug,X-Scissor,bug,14.43,367,32.40,3001,false,false
503,Hydrapple,1019,dragon,grass,Dragon Tail,dragon,Outrage,dragon,14.41,503,35.02,3234,false,false
504,Shadow Corviknight,823,flying,steel,Steel Wing,steel,Sky Attack,flying,14.41,407,33.22,2457,true,false
505,Golurk,623,ghost,ground,Mud Slap,ground,Earth Power,ground,14.40,372,32.46,2854,false,false
506,Dynamax Gyarados,130,flying,water,Waterfall,water,Hydro Pump,water,14.40,464,34.30,3391,false,false
507,Gyarados,130,flying,water,Waterfall,water,Hydro Pump,water,14.40,464,34.30,3391,false,false
508,Shadow Sudowoodo,185,rock,none,Rock Throw,rock,Meteor Beam,rock,14.39,297,30.67,2148,true,false
509,Shadow Stantler,234,normal,none,Tackle,normal,Wild Charge,electric,14.39,233,28.87,2164,true,false
510,Shadow Gothitelle,576,psychic,none,Confusion,psychic,Psychic,psychic,14.37,342,31.74,2419,true,false
511,Arcanine,59,fire,none,Fire Fang,fire,Wild Charge,electric,14.37,401,33.02,3029,false,false
512,Flygon,330,dragon,ground,Dragon Tail,dragon,Boomburst,normal,14.35,374,32.42,2661,false,false
513,Shadow Sandslash,28,ground,none,Sand Attack,ground,Scorching Sands,ground,14.34,309,30.89,2374,true,false
514,Shadow Alolan Sandslash,28,ice,steel,Metal Claw,steel,Blizzard,ice,14.34,341,31.67,2432,true,false
515,Shadow Liepard,510,dark,none,Snarl,dark,Dark Pulse,dark,14.33,178,26.88,1846,true,false
516,Tatsugiri,978,dragon,water,Water Gun,water,Outrage,dragon,14.32,331,31.40,2746,false,false
517,Shadow Froslass,478,ghost,ice,Hex,ghost,Shadow Ball,ghost,14.30,255,29.40,2040,true,false
518,Goodra,706,dragon,none,Dragon Breath,dragon,Draco Meteor,dragon,14.30,566,35.88,3505,false,false
519,Flapple,841,dragon,grass,Dragon Breath,dragon,Fly,flying,14.30,295,30.47,2466,false,false
520,Kilowattrel,941,electric,flying,Thunder Shock,electric,Thunderbolt,electric,14.30,273,29.88,2443,false,false
521,Shadow Staravia,397,flying,normal,Quick Attack,normal,Fly,flying,14.29,145,25.51,1299,true,false
522,Shadow Pidgeot,18,flying,normal,Wing Attack,flying,Brave Bird,flying,14.26,293,30.35,2129,true,false
523,Salazzle,758,fire,poison,Poison Jab,poison,Fire Blast,fire,14.26,264,29.58,2479,false,false
524,Shadow Dusknoir,477,ghost,none,Hex,ghost,Shadow Ball,ghost,14.25,317,30.95,2388,true,false
525,Mr. Rime,866,ice,psychic,Confusion,psychic,Psychic,psychic,14.24,393,32.65,2827,false,false
526,Kadabra,64,psychic,none,Confusion,psychic,Shadow Ball,ghost,14.24,176,26.70,2059,false,false
527,Sawk,539,fighting,none,Low Kick,fighting,Focus Blast,fighting,14.22,325,31.10,2788,false,false
528,Zamazenta - Hero of Many Battles,889,fighting,none,Metal Claw,steel,Close Combat,fighting,14.21,512,34.82,3829,false,false
529,Crabominable,740,fighting,ice,Bubble,water,Crabhammer,water,14.20,353,31.71,2907,false,false
530,Passimian,766,fighting,none,Counter,fighting,Superpower,fighting,14.20,414,33.00,3033,false,false
531,Shadow Murkrow,198,dark,flying,Feint Attack,dark,Foul Play,dark,14.19,142,25.24,1562,true,false
532,Victreebel,71,grass,poison,Magical Leaf,grass,Sludge Bomb,poison,14.19,303,30.49,2431,false,false
533,Shadow Gliscor,472,flying,ground,Fury Cutter,bug,Earthquake,ground,14.18,381,32.27,2692,true,false
534,Bisharp,625,dark,steel,Metal Claw,steel,Dark Pulse,dark,14.17,334,31.23,2844,false,false
535,Shadow Alolan Ninetales,38,fairy,ice,Charm,fairy,Weather Ball Ice,ice,14.16,327,31.05,2309,true,false
536,Wyrdeer,898,normal,psychic,Confusion,psychic,Psychic,psychic,14.16,385,32.34,2732,false,false
537,Shadow Lapras,131,ice,water,Water Gun,water,Sparkling Aria,water,14.16,452,33.66,2641,true,false
538,Mismagius,429,ghost,none,Sucker Punch,dark,Shadow Ball,ghost,14.15,337,31.27,2615,false,false
539,Alolan Raichu,26,electric,psychic,Thunder Shock,electric,Wild Charge,electric,14.15,282,29.90,2286,false,false
540,Espartha,956,psychic,none,Confusion,psychic,Psychic,psychic,14.14,322,30.89,2477,false,false
541,Shadow Xatu,178,flying,psychic,Air Slash,flying,Shadow Ball,ghost,14.13,234,28.52,2188,true,false
542,Shadow Cacnea,331,grass,none,Sucker Punch,dark,Grass Knot,grass,14.13,111,23.63,1242,true,false
543,Shadow Golduck,55,water,none,Water Gun,water,Hydro Pump,water,14.13,297,30.24,2450,true,false
544,Swanna,581,flying,water,Gust,flying,Fly,flying,14.12,282,29.86,2088,false,false
545,Shadow Grumpig,326,psychic,none,Psywave,psychic,Psychic,psychic,14.11,340,31.26,2369,true,false
546,Squawkabilly,931,flying,normal,Air Slash,flying,Fly,flying,14.09,244,28.75,1973,false,false
547,Armarouge,936,fire,psychic,Incinerate,fire,Flamethrower,fire,14.09,391,32.33,3109,false,false
548,Heliolisk,695,electric,normal,Quick Attack,normal,Thunderbolt,electric,14.09,310,30.50,2600,false,false
549,Rhydon,112,ground,rock,Mud Slap,ground,Earthquake,ground,14.07,451,33.48,3179,false,false
550,Mega Altaria,334,dragon,fairy,Dragon Breath,dragon,Dazzling Gleam,fairy,14.07,446,33.38,3163,false,true
551,Shadow Abra,63,psychic,none,Zen Headbutt,psychic,Psyshock,psychic,14.05,85,22.04,1342,true,false
552,Lilligant,549,grass,none,Magical Leaf,grass,Solar Beam,grass,14.04,310,30.42,2550,false,false
553,Trevenant,709,ghost,grass,Shadow Claw,ghost,Shadow Ball,ghost,14.03,351,31.37,2559,false,false
554,Shadow Venomoth,49,bug,poison,Bug Bite,bug,Bug Buzz,bug,14.03,240,28.52,2082,true,false
555,Shadow Luxio,404,electric,none,Spark,electric,Wild Charge,electric,14.02,152,25.42,1486,true,false
556,Leavanny,542,bug,grass,Bug Bite,bug,Leaf Storm,grass,14.02,343,31.18,2580,false,false
557,Mabosstiff,943,dark,none,Snarl,dark,Payback,dark,14.01,365,31.65,2963,false,false
558,Centiskorch,851,fire,bug,Bug Bite,bug,Bug Buzz,bug,14.00,403,32.44,2990,false,false
559,Bewear,760,fighting,normal,Tackle,normal,Superpower,fighting,13.99,417,32.69,3117,false,false
560,Pangoro,675,dark,fighting,Snarl,dark,Close Combat,fighting,13.99,361,31.54,2902,false,false
561,Shadow Walrein,365,ice,water,Waterfall,water,Blizzard,ice,13.99,397,32.29,2726,true,false
562,Shadow Hitmonchan,107,fighting,none,Counter,fighting,Close Combat,fighting,13.99,261,29.06,2332,true,false
563,Cetitan,975,ice,none,Ice Shard,ice,Avalanche,ice,13.99,485,33.94,3113,false,false
564,Shiftry,275,dark,grass,Snarl,dark,Leaf Blade,grass,13.98,293,29.90,2333,false,false
565,Starmie,121,psychic,water,Psywave,psychic,Psychic,psychic,13.96,328,30.73,2584,false,false
566,Shadow Malamar,687,dark,psychic,Psycho Cut,psychic,Foul Play,dark,13.96,312,30.35,2359,true,false
567,Escavalier,589,bug,steel,Bug Bite,bug,Megahorn,bug,13.94,366,31.55,2889,false,false
568,Galarian Rapidash,78,fairy,psychic,Psycho Cut,psychic,Psychic,psychic,13.91,304,30.08,2461,false,false
569,Indeedee (Male),876,normal,psychic,Extrasensory,psychic,Psychic,psychic,13.89,297,29.87,2443,false,false
570,Shadow Ferrothorn,598,grass,steel,Metal Claw,steel,Power Whip,grass,13.89,371,31.59,2321,true,false
571,Mega Medicham,308,fighting,psychic,Counter,fighting,Dynamic Punch,fighting,13.89,318,30.39,2495,false,true
572,Shadow Weezing,110,poison,none,Acid,poison,Sludge Bomb,poison,13.88,303,30.00,2293,true,false
573,Mew,151,psychic,none,Snarl,dark,Psychic,psychic,13.88,520,34.33,3265,false,false
574,Dodrio,85,flying,normal,Steel Wing,steel,Brave Bird,flying,13.87,254,28.69,2362,false,false
575,Vanilluxe,584,ice,none,Frost Breath,ice,Avalanche,ice,13.86,362,31.33,2822,false,false
576,Shadow Hisuian Sneasel,215,fighting,poison,Poison Jab,poison,Close Combat,fighting,13.85,208,27.26,2051,true,false
577,Barraskewda,847,water,none,Waterfall,water,Close Combat,fighting,13.85,233,28.06,2656,false,false
578,Granbull,210,fairy,none,Charm,fairy,Play Rough,fairy,13.85,312,30.16,2552,false,false
579,Arceus,493,normal,none,Shadow Claw,ghost,Hyper Beam,normal,13.84,610,35.67,3982,false,false
580,Scyther,123,bug,flying,Fury Cutter,bug,Bug Buzz,bug,13.82,332,30.59,2706,false,false
581,Magneton,82,electric,steel,Thunder Shock,electric,Magnet Bomb,steel,13.81,268,28.99,2485,false,false
582,Lycanroc (Dusk Form),745,rock,none,Rock Throw,rock,Stone Edge,rock,13.81,291,29.59,2678,false,false
583,Lycanroc (Midday Form),745,rock,none,Rock Throw,rock,Stone Edge,rock,13.81,291,29.59,2678,false,false
584,Carnivine,455,grass,none,Vine Whip,grass,Power Whip,grass,13.80,281,29.30,2159,false,false
585,Stonjourner,874,rock,none,Rock Throw,rock,Rock Slide,rock,13.79,453,33.01,3218,false,false
586,Scolipede,545,bug,poison,Poison Jab,poison,Sludge Bomb,poison,13.79,309,30.00,2447,false,false
587,Fraxure,611,dragon,none,Dragon Tail,dragon,Dragon Claw,dragon,13.78,238,28.08,2234,false,false
588,Accelgor,617,bug,none,Infestation,bug,Bug Buzz,bug,13.78,265,28.84,2441,false,false
589,Aerodactyl,142,flying,rock,Rock Throw,rock,Rock Slide,rock,13.77,341,30.72,2783,false,false
590,Shadow Carvanha,318,dark,water,Bite,dark,Crunch,dark,13.77,62,20.02,1020,true,false
591,Copperajah,879,steel,none,Tackle,normal,Heavy Slam,steel,13.76,374,31.43,2980,false,false
592,Shadow Bellossom,182,grass,none,Magical Leaf,grass,Leaf Blade,grass,13.74,313,30.01,2281,true,false
593,Floatzel,419,water,none,Waterfall,water,Hydro Pump,water,13.72,262,28.67,2443,false,false
594,Leafeon,470,grass,none,Razor Leaf,grass,Leaf Blade,grass,13.71,396,31.80,2944,false,false
595,Shadow Bellsprout,69,grass,poison,Vine Whip,grass,Power Whip,grass,13.69,92,22.01,1033,true,false
596,Talonflame,663,fire,flying,Fire Spin,fire,Fly,flying,13.69,325,30.22,2205,false,false
597,Shadow Qwilfish,211,poison,water,Water Gun,water,Shadow Ball,ghost,13.68,216,27.25,2051,true,false
598,Grafaiai,945,normal,poison,Poison Jab,poison,Sludge Bomb,poison,13.68,272,28.90,2264,false,false
599,Shadow Ivysaur,2,grass,poison,Vine Whip,grass,Power Whip,grass,13.68,213,27.16,1699,true,false
600,Hisuian Lilligant,549,fighting,grass,Magical Leaf,grass,Solar Beam,grass,13.67,309,29.79,2512,false,false
601,Shadow Obstagoon,862,dark,normal,Lick,ghost,Hyper Beam,normal,13.67,350,30.74,2562,true,false
602,Raichu,26,electric,none,Thunder Shock,electric,Wild Charge,electric,13.66,268,28.75,2182,false,false
603,Aggron,306,rock,steel,Metal Sound,steel,Meteor Beam,rock,13.66,482,33.30,3000,false,false
604,Aurorus,699,ice,rock,Rock Throw,rock,Meteor Beam,rock,13.66,472,33.12,2802,false,false
605,Tapu Fini,788,fairy,water,Water Gun,water,Nature's Madness,fairy,13.65,477,33.18,2857,false,false
606,Durant,632,bug,steel,Metal Claw,steel,X-Scissor,bug,13.64,319,29.99,2659,false,false
607,Gogoat,673,grass,none,Vine Whip,grass,Leaf Blade,grass,13.63,427,32.24,2798,false,false
608,Eelektross,604,electric,none,Volt Switch,electric,Thunderbolt,electric,13.61,336,30.33,2732,false,false
609,Druddigon,621,dragon,none,Dragon Tail,dragon,Dragon Claw,dragon,13.61,348,30.59,2732,false,false
610,Nidoking,34,ground,poison,Poison Jab,poison,Earth Power,ground,13.59,332,30.23,2567,false,false
611,Zygarde (10% Forme),718,dragon,ground,Dragon Tail,dragon,Outrage,dragon,13.59,282,29.00,2375,false,false
612,Mudsdale,750,ground,none,Mud Slap,ground,Earthquake,ground,13.57,427,32.15,3046,false,false
613,Shadow Trumbeak,732,flying,normal,Peck,flying,Sky Attack,flying,13.56,145,24.54,1478,true,false
614,Barbaracle,689,rock,water,Fury Cutter,bug,Razor Shell,water,13.56,396,31.51,2675,false,false
615,Giratina (Altered Forme),487,dragon,ghost,Dragon Breath,dragon,Shadow Force,ghost,13.55,675,36.01,3379,false,false
616,Togedemaru,777,electric,steel,Thunder Shock,electric,Wild Charge,electric,13.54,268,28.56,2160,false,false
617,Shadow Seadra,117,water,none,Water Gun,water,Hydro Pump,water,13.54,216,27.05,2093,true,false
618,Shadow Fletchinder,662,flying,fire,Peck,flying,Fly,flying,13.53,169,25.45,1469,true,false
619,Shadow Trapinch,328,ground,none,Sand Attack,ground,Scorching Sands,ground,13.52,104,22.52,1274,true,false
620,Crustle,558,bug,rock,Fury Cutter,bug,Rock Wrecker,rock,13.51,377,31.05,2542,false,false
621,Zygarde (50% Forme),718,dragon,ground,Dragon Tail,dragon,Earthquake,ground,13.50,588,34.67,3410,false,false
622,Shadow Throh,538,fighting,none,Low Kick,fighting,Focus Blast,fighting,13.49,376,30.99,2562,true,false
623,Arboliva,930,grass,normal,Magical Leaf,grass,Seed Bomb,grass,13.49,384,31.15,2959,false,false
624,Donphan,232,ground,none,Mud Slap,ground,Earthquake,ground,13.48,415,31.75,3013,false,false
625,Shadow Galarian Weezing,110,fairy,poison,Fairy Wind,fairy,Play Rough,fairy,13.41,293,29.00,2293,true,false
626,Wo-Chien,1001,dark,grass,Snarl,dark,Grass Knot,grass,13.41,510,33.30,2937,false,false
627,Cinccino,573,normal,none,Pound,normal,Hyper Beam,normal,13.39,264,28.21,2242,false,false
628,Golem,76,ground,rock,Rock Throw,rock,Earthquake,ground,13.39,406,31.41,2949,false,false
629,Drednaw,834,rock,water,Waterfall,water,Surf,water,13.38,369,30.67,2838,false,false
630,Fearow,22,flying,normal,Peck,flying,Fly,flying,13.38,245,27.66,1997,false,false
631,Shadow Suicune,245,water,none,Snarl,dark,Hydro Pump,water,13.36,464,32.43,2983,true,false
632,Shadow Regice,378,ice,none,Lock-On,normal,Blizzard,ice,13.36,513,33.26,3122,true,false
633,Rotom Mow,479,electric,grass,Thunder Shock,electric,Leaf Storm,grass,13.34,329,29.73,2579,false,false
634,Vileplume,45,grass,poison,Acid,poison,Sludge Bomb,poison,13.33,330,29.73,2559,false,false
635,Rotom Heat,479,electric,fire,Thunder Shock,electric,Overheat,fire,13.31,329,29.67,2579,false,false
636,Tangela,114,grass,none,Vine Whip,grass,Grass Knot,grass,13.30,302,29.05,2238,false,false
637,Shadow Frogadier,657,water,none,Bubble,water,Surf,water,13.28,158,24.64,1636,true,false
638,Noivern,715,dragon,flying,Air Slash,flying,Boomburst,normal,13.27,373,30.54,2764,false,false
639,Cyclizar,967,dragon,normal,Dragon Tail,dragon,Dragon Claw,dragon,13.26,270,28.18,2354,false,false
640,Swellow,277,flying,normal,Wing Attack,flying,Sky Attack,flying,13.25,217,26.66,1920,false,false
641,Shadow Boldore,525,rock,none,Smack Down,rock,Rock Slide,rock,13.22,226,26.87,2029,true,false
642,Simisear,514,fire,none,Fire Spin,fire,Flamethrower,fire,13.21,266,27.97,2350,false,false
643,Houndstone,972,ghost,none,Lick,ghost,Shadow Ball,ghost,13.20,368,30.33,2514,false,false
644,Ting-Lu,1003,dark,ground,Snarl,dark,Earthquake,ground,13.19,671,35.22,3532,false,false
645,Gastly,92,ghost,poison,Lick,ghost,Sludge Bomb,poison,13.17,88,21.16,1229,false,false
646,Shadow Butterfree,12,bug,flying,Bug Bite,bug,Bug Buzz,bug,13.17,197,25.89,1827,true,false
647,Drifblim,426,flying,ghost,Hex,ghost,Shadow Ball,ghost,13.17,350,29.89,2382,false,false
648,Manaphy,490,water,none,Bubble,water,Surf,water,13.16,493,32.57,3265,false,false
649,Mesprit,481,psychic,none,Confusion,psychic,Future Sight,psychic,13.16,425,31.38,3058,false,false
650,Heatmor,631,fire,none,Fire Spin,fire,Flamethrower,fire,13.16,280,28.26,2395,false,false
651,Lycanroc (Midnight Form),745,rock,none,Rock Throw,rock,Stone Edge,rock,13.14,325,29.30,2744,false,false
652,Ambipom,424,normal,none,Scratch,normal,Hyper Beam,normal,13.14,282,28.30,2418,false,false
653,Primeape,57,fighting,none,Counter,fighting,Rage Fist,ghost,13.14,248,27.39,2288,false,false
654,Meganium,154,grass,none,Vine Whip,grass,Frenzy Plant,grass,13.13,406,30.96,2410,false,false
655,Rapidash,78,fire,none,Fire Spin,fire,Wild Charge,electric,13.13,287,28.40,2461,false,false
656,Mega Malamar,687,dark,psychic,Psycho Cut,psychic,Foul Play,dark,13.12,464,32.00,3143,false,true
657,Shadow Electrode,101,electric,none,Volt Switch,electric,Thunderbolt,electric,13.12,243,27.21,2099,true,false
658,Shadow Bibarel,400,normal,water,Water Gun,water,Hyper Fang,normal,13.10,206,26.09,1823,true,false
659,Mega Kangaskhan,115,normal,none,Mud Slap,ground,Outrage,dragon,13.09,507,32.65,3850,false,true
660,Mega Steelix,208,ground,steel,Iron Tail,steel,Heavy Slam,steel,13.08,609,34.16,3670,false,true
661,Hippowdon,450,ground,none,Sand Attack,ground,Earth Power,ground,13.08,475,32.10,3085,false,false
662,Galvantula,596,bug,electric,Fury Cutter,bug,Bug Buzz,bug,13.05,242,27.09,2206,false,false
663,Skuntank,435,dark,poison,Poison Jab,poison,Sludge Bomb,poison,13.04,326,29.16,2358,false,false
664,Shadow Amoonguss,591,grass,poison,Feint Attack,dark,Grass Knot,grass,13.03,306,28.69,2140,true,false
665,Shadow Glalie,362,ice,none,Frost Breath,ice,Avalanche,ice,13.02,273,27.88,2105,true,false
666,Shadow Alolan Graveler,75,electric,rock,Rock Throw,rock,Thunderbolt,electric,13.02,217,26.31,1897,true,false
667,Armored Mewtwo,150,psychic,none,Confusion,psychic,Psystrike,psychic,13.02,606,34.01,3187,false,false
668,Simipour,516,water,none,Water Gun,water,Surf,water,13.02,262,27.57,2350,false,false
669,Shadow Tentacruel,73,poison,water,Poison Jab,poison,Hydro Pump,water,13.01,346,29.54,2422,true,false
670,Cramorant,845,flying,water,Water Gun,water,Fly,flying,13.01,300,28.51,2142,false,false
671,Chatot,441,flying,normal,Steel Wing,steel,Sky Attack,flying,12.99,189,25.38,1791,false,false
672,Sylveon,700,fairy,none,Charm,fairy,Dazzling Gleam,fairy,12.99,458,31.66,3069,false,false
673,Ninjask,291,bug,flying,Fury Cutter,bug,Bug Buzz,bug,12.99,196,25.59,1969,false,false
674,Lurantis,754,grass,none,Fury Cutter,bug,Leaf Storm,grass,12.98,310,28.70,2398,false,false
675,Shadow Pignite,499,fire,fighting,Ember,fire,Flamethrower,fire,12.98,202,25.78,1924,true,false
676,Shadow Raticate,20,normal,none,Quick Attack,normal,Hyper Fang,normal,12.98,186,25.26,1730,true,false
677,Arctozolt,881,electric,ice,Thunder Shock,electric,Avalanche,ice,12.97,362,29.81,2566,false,false
678,Shadow Skarmory,227,flying,steel,Steel Wing,steel,Sky Attack,flying,12.96,321,28.92,2108,true,false
679,Shadow Noctowl,164,flying,normal,Wing Attack,flying,Sky Attack,flying,12.95,307,28.58,2024,true,false
680,Alolan Dugtrio,51,ground,steel,Metal Claw,steel,Earthquake,ground,12.94,178,24.91,1897,false,false
681,Shadow Lairon,305,rock,steel,Metal Claw,steel,Heavy Slam,steel,12.94,271,27.67,2056,true,false
682,Shadow Regirock,377,rock,none,Rock Throw,rock,Stone Edge,rock,12.93,497,32.18,3122,true,false
683,Sandaconda,844,ground,none,Mud Slap,ground,Earth Power,ground,12.92,380,30.10,2790,false,false
684,Shadow Garbodor,569,poison,none,Infestation,bug,Gunk Shot,poison,12.92,274,27.73,2345,true,false
685,Reuniclus,579,psychic,none,Zen Headbutt,psychic,Shadow Ball,ghost,12.91,375,29.97,2927,false,false
686,Shadow Slaking,289,normal,none,Yawn,normal,Body Slam,normal,12.91,404,30.53,4431,true,false
687,Hitmonlee,106,fighting,none,Double Kick,fighting,Blaze Kick,fire,12.90,267,27.50,2576,false,false
688,Armaldo,348,bug,rock,Fury Cutter,bug,Rock Blast,rock,12.89,331,29.03,2848,false,false
689,Shadow Forretress,205,bug,steel,Bug Bite,bug,Heavy Slam,steel,12.89,321,28.80,2282,true,false
690,Alcremie,869,fairy,none,Charm,fairy,Dazzling Gleam,fairy,12.88,347,29.35,2682,false,false
691,Alolan Muk,89,dark,poison,Snarl,dark,Gunk Shot,poison,12.87,414,30.66,2757,false,false
692,Minior (Core),774,flying,rock,Rollout,rock,Power Gem,rock,12.87,222,26.22,2292,false,false
693,Roselia,315,grass,poison,Poison Jab,poison,Sludge Bomb,poison,12.87,198,25.49,1870,false,false
694,Shadow Shelgon,372,dragon,none,Dragon Breath,dragon,Dragon Pulse,dragon,12.87,225,26.31,2031,true,false
695,Omastar,139,rock,water,Rock Throw,rock,Hydro Pump,water,12.86,360,29.58,2786,false,false
696,Vaporeon,134,water,none,Water Gun,water,Hydro Pump,water,12.84,458,31.38,3114,false,false
697,Rotom Frost,479,electric,ice,Thunder Shock,electric,Thunderbolt,electric,12.83,317,28.60,2579,false,false
698,Rotom Wash,479,electric,water,Thunder Shock,electric,Thunderbolt,electric,12.83,317,28.60,2579,false,false
699,Shadow Magnemite,81,electric,steel,Thunder Shock,electric,Thunderbolt,electric,12.83,109,21.91,1362,true,false
700,Celesteela,797,flying,steel,Air Slash,flying,Heavy Slam,steel,12.83,446,31.14,3102,false,false
701,Exploud,295,normal,none,Bite,dark,Boomburst,normal,12.80,334,28.92,2347,false,false
702,Shadow Tyrunt,696,dragon,rock,Dragon Tail,dragon,Dragon Claw,dragon,12.79,170,24.41,1635,true,false
703,Ribombee,743,bug,fairy,Charm,fairy,Dazzling Gleam,fairy,12.79,243,26.70,2200,false,false
704,Ampharos,181,electric,none,Volt Switch,electric,Zap Cannon,electric,12.79,363,29.51,2852,false,false
705,Electabuzz,125,electric,none,Thunder Shock,electric,Thunderbolt,electric,12.79,273,27.49,2334,false,false
706,Maractus,556,grass,none,Poison Jab,poison,Solar Beam,grass,12.78,252,26.92,2274,false,false
707,Lokix,920,bug,dark,Bug Bite,bug,Bug Buzz,bug,12.77,266,27.28,2317,false,false
708,Hisuian Qwilfish,211,dark,poison,Poison Jab,poison,Sludge Bomb,poison,12.75,261,27.13,2136,false,false
709,Rabsca,954,bug,psychic,Bug Bite,bug,Bug Buzz,bug,12.74,335,28.85,2623,false,false
710,Shadow Corphish,341,water,none,Bubble,water,Razor Shell,water,12.74,118,22.21,1230,true,false
711,Dracozolt,880,dragon,electric,Dragon Tail,dragon,Discharge,electric,12.74,353,29.23,2621,false,false
712,Porygon2,233,normal,none,Lock-On,normal,Hyper Beam,normal,12.73,367,29.51,2711,false,false
713,Galarian Slowbro,80,poison,psychic,Poison Jab,poison,Sludge Bomb,poison,12.73,349,29.13,2445,false,false
714,Beartic,614,ice,none,Charm,fairy,Ice Punch,ice,12.71,340,28.92,3042,false,false
715,Shadow Solosis,577,psychic,none,Zen Headbutt,psychic,Psyshock,psychic,12.71,103,21.45,1367,true,false
716,Blastoise,9,water,none,Water Gun,water,Hydro Cannon,water,12.70,397,30.04,2466,false,false
717,Mr. Mime,122,fairy,psychic,Psywave,psychic,Psychic,psychic,12.69,262,27.05,2228,false,false
718,Shadow Hitmontop,237,fighting,none,Counter,fighting,Close Combat,fighting,12.68,248,26.65,2156,true,false
719,Palossand,770,ghost,ground,Sand Attack,ground,Shadow Ball,ghost,12.68,362,29.30,2444,false,false
720,Shadow Gloom,44,grass,poison,Acid,poison,Sludge Bomb,poison,12.68,188,24.88,1681,true,false
721,Muk,89,poison,none,Poison Jab,poison,Gunk Shot,poison,12.67,408,30.18,2757,false,false
722,Kabutops,141,rock,water,Waterfall,water,Stone Edge,rock,12.67,300,27.96,2713,false,false
723,Krabby,98,water,none,Bubble,water,Razor Shell,water,12.66,143,23.21,1561,false,false
724,Crobat,169,flying,poison,Air Slash,flying,Sludge Bomb,poison,12.66,361,29.26,2646,false,false
725,Swoobat,528,flying,psychic,Confusion,psychic,Fly,flying,12.65,214,25.67,1716,false,false
726,Camerupt,323,fire,ground,Incinerate,fire,Earth Power,ground,12.64,248,26.60,2193,false,false
727,Serperior,497,grass,none,Vine Whip,grass,Frenzy Plant,grass,12.63,376,29.51,2277,false,false
728,Wugtrio,961,water,none,Water Gun,water,Surf,water,12.62,167,24.05,1895,false,false
729,Abomasnow,460,grass,ice,Leafage,grass,Weather Ball Ice,ice,12.61,336,28.66,2362,false,false
730,Zygarde (Complete Forme),718,dragon,ground,Dragon Tail,dragon,Earthquake,ground,12.61,785,35.41,3722,false,false
731,Shadow Alolan Marowak,105,fire,ghost,Fire Spin,fire,Shadow Ball,ghost,12.60,249,26.56,1835,true,false
732,Kingdra,230,dragon,water,Dragon Breath,dragon,Outrage,dragon,12.59,358,29.08,2641,false,false
733,Shadow Tranquill,520,flying,normal,Air Slash,flying,Sky Attack,flying,12.59,154,23.52,1442,true,false
734,Poliwrath,62,fighting,water,Counter,fighting,Dynamic Punch,fighting,12.59,386,29.61,2586,false,false
735,Girafarig,203,normal,psychic,Confusion,psychic,Psychic,psychic,12.57,241,26.31,2046,false,false
736,Shadow Grotle,388,grass,none,Razor Leaf,grass,Solar Beam,grass,12.57,225,25.85,1890,true,false
737,Shadow Graveler,75,ground,rock,Rock Throw,rock,Rock Slide,rock,12.56,209,25.38,1897,true,false
738,Shadow Gurdurr,533,fighting,none,Low Kick,fighting,Brick Break,fighting,12.55,230,25.97,2169,true,false
739,Shadow Cradily,346,grass,rock,Infestation,bug,Grass Knot,grass,12.54,326,28.31,2211,true,false
740,Bruxish,779,psychic,water,Confusion,psychic,Psyshock,psychic,12.54,256,26.66,2389,false,false
741,Stakataka,805,rock,steel,Rock Throw,rock,Stone Edge,rock,12.54,466,30.95,3294,false,false
742,Shadow Arbok,24,poison,none,Acid,poison,Gunk Shot,poison,12.53,207,25.27,1921,true,false
743,Sneasel,215,dark,ice,Feint Attack,dark,Avalanche,ice,12.53,226,25.81,2051,false,false
744,Shadow Charmeleon,5,fire,none,Fire Fang,fire,Flamethrower,fire,12.53,170,24.03,1653,true,false
745,Shadow Nuzleaf,274,dark,grass,Feint Attack,dark,Grass Knot,grass,12.53,126,22.31,1227,true,false
746,Weepinbell,70,grass,poison,Acid,poison,Power Whip,grass,12.49,165,23.82,1611,false,false
747,Hisuian Electrode,101,electric,grass,Thunder Shock,electric,Wild Charge,electric,12.48,281,27.20,2149,false,false
748,Rotom Fan,479,electric,flying,Air Slash,flying,Thunderbolt,electric,12.48,308,27.82,2579,false,false
749,Doublade,680,ghost,steel,Fury Cutter,bug,Sacred Sword,fighting,12.47,321,28.10,2443,false,false
750,Machoke,67,fighting,none,Karate Chop,fighting,Dynamic Punch,fighting,12.46,248,26.32,2031,false,false
751,Shadow Watchog,505,normal,none,Bite,dark,Hyper Fang,normal,12.46,189,24.57,1819,true,false
752,Avalugg,713,ice,none,Ice Fang,ice,Avalanche,ice,12.45,509,31.49,3198,false,false
